CO2,Species,root,shoot,biomass
current,SA,2.0203,6.8292,8.8495
current,SA,1.0681,5.2047,6.2728
current,SA,2.0499, ,9.3255
current,SA,2.6797,5.6128,8.2925
current,AC,0.5098,1.8772,2.387
current,AC,1.0511,4.1917,5.2428
current,AC,0.5868,1.9868,2.5736
current,AC,0.8496,3.4762,4.3258
current,PG,1.0319,3.7225,4.7544
current,PG,1.4145,5.3389, 
current,PG,1.9388,5.0858,7.0246
current,PG,1.3345,5.0412,6.3757
current,SA,1.9348,4.6288,6.5636
current,SA,2.5587,8.7265,11.2852
current,SA,0.384,2.7736,3.1576
current,SA,2.466,6.9299,9.3959
current,AC,0.8425,3.0628,3.9053
current,AC,1.5508,6.3861,7.9369
current,AC,0.5662,2.1103,2.6765
current,AC,0.5017,2.0605,2.5622
current,PG,1.1549,3.2155,4.3704
current,PG,1.7274,5.5356,7.263
current,PG,1.7229,6.0871,7.81
current,PG,0.7877,2.1732,2.9609
double,SA,1.3425,4.0109,5.3534
double,SA,4.355,9.3459,13.7009
double,SA,5.1847,8.8219,14.0066
double,SA,4.8327,4.159,8.9917
double,AC,0.8888,3.739,4.6278
double,AC,0.8256,3.4938,4.3194
double,AC,0.5845,2.176,2.7605
double,AC,0.9397,3.6385,4.5782
double,PG,0.8972,1.8134,2.7106
double,PG,3.3486,7.1846,10.5332
double,PG,2.0064,4.6017,6.6081
double,PG,2.7022,5.1287,7.8309
current,SA,5.4555,11.4089,16.8644
current,SA,2.2817,6.7976,9.0793
current,SA,3.3311,10.4509,13.782
current,SA,2.777,9.9014,12.6784
current,AC,1.1821,5.2041,6.3862
current,AC,1.0818,5.2135,6.2953
current,AC,1.626,5.9905,7.6165
current,AC,0.9382,2.9673,3.9055
current,PG,1.0299,1.5733,2.6032
current,PG,0.5487,1.2253,1.774
current,PG,1.3625,2.9418,4.3043
current,PG,1.5152,1.345,2.8602
double,SA,1.6848,6.5569,8.2417
double,SA,4.7713,12.747,17.5183
double,SA,2.4111,11.1247,13.5358
double,SA,2.9387,10.9394,13.8781
double,AC,2.168,8.6473,10.8153
double,AC,1.5399,5.6184,7.1583
double,AC,1.8747,6.9941,8.8688
double,AC,0.611,2.494,3.105
double,PG,1.5584,2.9942,4.5526
double,PG,1.4931,1.4493,2.9424
double,PG,1.898,2.9908,4.8888
double,PG,1.1144,1.033,2.1474
double,SA,5.7245,11.6946,17.4191
double,SA,5.0725,11.331,16.4035
double,SA,4.4145,10.0386,14.4531
double,SA,5.7245,14.5617,20.2862
double,AC,1.1748,4.8629,6.0377
double,AC,2.0357,8.126,10.1617
double,AC,1.1994,5.996,7.1954
double,AC,1.3107,4.5866,5.8973
double,PG,1.4658,2.5924,4.0582
double,PG,1.2811,2.3585,3.6396
double,PG,0.8182,1.4002,2.2184
double,PG,1.6896,2.8043,4.4939
double,SA,6.1336,12.9277,19.0613
double,SA,6.8183,10.8956,17.7139
double,SA,5.0918,11.8905,16.9823
double,SA,4.0482,11.3438,15.392
double,AC,0.8081,3.198,4.0061
double,AC,0.9649,3.5661,4.531
double,AC,1.5851,5.1121,6.6972
double,AC,1.5332,4.724,6.2572
double,PG,3.2955,3.9368,7.2323
double,PG,5.0436,7.084,12.1276
double,PG,2.3677,5.0222,7.3899
double,PG,3.6813,5.2884,8.9697
double,SA,7.049,10.3356,17.3846
double,SA,3.0385,11.1676,14.2061
double,SA,2.1131,7.4831,9.5962
